Title,Number of review,Catagory,Reveiw Comment,Popular food,Online Order
The Marshal,323,"Lebanese, Mediterranean",“Quite possibly the best Pizza I ever ate!”,No,No
Jalao,2,"Asian, Chinese",“Great Dominican Food”,No,No
Bocca Bliss,8,"Chinese, Asian",“Good food at reasonable price.”,No,No
Sushi Sushi,12,Greek,“So fresh so zen”,No,No
A Little Taste,4,Portuguese,“ALT is a perfect surprise!”,No,No
Zora's Cafe,11,"Italian, Pizza",“excelllent fried chicken”,No,No
The Elgin,55,"Italian, Pizza",“I had the sliders and a green salad with a tasty lemony vinaigrette.”,No,No
Naya Express,3,"Italian, Pizza","“Delicious, fresh, plentiful, & a great...”",No,No
Wuish Kitchen & Bar,2,"Italian, Pizza",“Oriental Dinner”,No,No
M Noodle Shop,3,"Italian, Pizza",“Excellent fresh food in calm surroundings”,No,No
Kyma At Hudson Yards,2,"Italian, Pizza",“Absolutely great place”,No,No
Leitao,2,"Italian, Pizza",“True Portuguese style. With style. Deal.”,No,No
Ledo Pizza,13,"Italian, Pizza",“Maryland’s Best in NYC”,No,No
No,No,"Italian, Pizza",No,No,No
Motorino East Village,290,"Italian, Pizza",“Excellent Pizza”,Dumplings,Yes
The Crown,36,"American, Asian",“Great view”,seafood paella,Yes
Shake Shack Harlem,4,"American, Fast Food",“Closer to Anthony Bourdain”,dumplings,Yes
Sushi Ikumi,2,"Japanese, Sushi",“Will come back”,Crab Cakes,Yes
Brad's Burgers & BBQ,4,"Asian, Chinese",“Perfect Burger”,No,Yes
Lena at Mercado Little Spain,3,American,“Dinner with family”,No,Yes
Little Alley,44,Mexican,“I savored Crystal Shrimp Dumplings with delicate translucent skin that melted...”,No,Yes
Healthy Choice Gourmet Deli Pizza,5,"Barbecue, Steakhouse",“Reliably good”,No,Yes
Cafe De Cupping,6,"Seafood, Mediterranean",“Great service - even better breakfast!”,No,Yes
Pelicana Chicken,8,"Italian, Pizza",“Tasty wings”,No,Yes
Casa Carmen,3,Italian,“Great Margaritas”,No,Yes
Holy Ground,11,American,“Cool concept. AWFUL execution!”,No,Yes
Socarrat Paella Bar - Chelsea,225,Cafe,“We took the combined poultry and seafood paella and started with some appetiz...”,No,Yes
4 Boys 99 Cents Pizza,3,"Chinese, Asian","“Wow, what a pizza joint!”",No,Yes
Pizza Etalia,5,American,“Heck Ya! 🍕”,No,Yes
The Centurion Lounge,4,"Pizza, Italian",“Great lounge”,No,Yes
Manon Cafe,6,Eastern European,“Coffee & Leonidas Chocolate”,No,Yes
Janam Tea,8,"Chinese, Asian",“Speakeasy Afternoon Tea”,No,No
Tim Ho Wan East Village,207,American,“Super dumplings!”,No,No
Harlem Bar B-Q,4,"Venezuelan, Latin",“Fantastic food”,No,No
Van Leeuwen,4,"Healthy, American",“Local smile and happy kids factory.”,No,No
Cafe Zaiya,11,"American, British",“Hot tea for a cold day”,No,No
Mozzarelli's,32,"Wine Bar, Mediterranean","“Excellent Pizza, Service Was Chaotic”",No,No
Klimat Lounge & Art Gallery,8,Soups,“Experience Something Different”,No,No
Tangy Noodle,3,"Pizza, Italian",“Great quality for the price!”,No,No
Abacky,5,American,“Amazing deal in Chelsea”,No,No
Gotham Cafe,12,"Chinese, American",“Good French breakfast”,No,No
Cachapas Y Mas,19,"Seafood, Soups","“Wonderful good, Great service.”",No,No
Just Salad,11,"Seafood, Soups",“Tasty and fresh”,No,No
Breakfast By Salt's Cure,2,"Seafood, Soups",“Delicious”,No,No
Balzem,100,"Seafood, Soups",“Amazing!!!”,No,No
Brodo Broth Co,5,"Seafood, Soups",“Lots of options”,No,No
Cafe Amore Pizzeria Ristorante,15,"Seafood, Soups",“Just stopped in for a slice of Cheese...”,No,No
Rick's Cabaret,10,"Seafood, Soups",“Best majestic transportation/ club is...”,No,No
Dig,5,"Seafood, Soups","“Fresh, organic food near Wall St”",No,No
The Royale,2,"Seafood, Soups",“Great Indian Food”,No,No
Benjamin Steakhouse Prime,309,"Seafood, Soups","“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",No,No
Tabernacle Steakhouse,7,"Steakhouse, American",“My steak was delectable and cooked to perfection.”,steak,Yes
Hot Jalapeno,4,"American, Diner",“Excellent Neighborhood Mexican Restaurant”,tuna,Yes
Moonstruck East Restaurant,36,"Japanese, Sushi",“Nice breakfast”,Steak,Yes
Oishi Bay,8,"Japanese, Sushi",“Hole in the wall”,beers,Yes
Miyako Sushi,13,"Seafood, Sushi",“Great for Quick Take-out”,paella,Yes
Nanzan Poke,4,"Japanese, Asian","“Healthy, Fast Food!”",French Onion Soup,Yes
Vestry,24,"Italian, Fast Food",“The tuna toast !”,No,Yes
Poke Bowl,4,Pizza,“Decent Poke”,No,Yes
AppeThaize,2,"American, Steakhouse",“Hidden Gem”,No,Yes
Pizza Plus,5,"Bar, Pub",“Cheap Eats for a quick bite”,No,Yes
Chuck E. Cheese,7,"Italian, Romana",“Great fun for child's birthday party”,No,Yes
Gregorys Coffee,3,"Peruvian, South American",“Pleasantly different.”,No,Yes
Royal 35 Steakhouse,591,"American, Wine Bar","“Superb Steak, really delicious”",No,Yes
The Woo Woo,2,"Mediterranean, European",“They also have bottled beers and typical mixed drinks (not advertised on menu).”,No,Yes
Caput Mundi,2,Hawaiian,“Great New Italian Restaurant”,No,Yes
Birch Coffee,5,American,"“BIRCH KNOWS HOW TO MAKE A ""RED EYE""!”",No,Yes
Retazitos,2,"American, Bar",“good food”,No,Yes
Vanguard Wine Bar,10,Irish,"“Friendly Wine Bar, Generous pour, some...”",No,No
Socarrat Paella Bar - Midtown East,191,"French, American",“Best paella outside of Spain!”,No,No
Sweetcatch Poke,5,"Chinese, Asian",“Really good for fast food”,No,No
Tropical128,9,American,“Great time and venue”,No,No
Rivoli Pizza,4,German,“Excellent”,No,No
The Chester,94,"Chinese, Steakhouse",“Wonderful service and good food”,No,No
J.J. Kinahan's,4,"Bar, Pub",“You are always at home at a good PUB!”,No,No
Quality Bistro,67,"American, Bar","“We had French Onion Soup, which was delicious.”",No,No
Delissimo Deli,8,"Asian, Sushi","“Decent food, good value”",No,No
Ocean Dragon,19,Chinese,“Nice Neighborhood Place”,No,No
Citizens Of Soho,2,"Italian, Mediterranean",“Great Value Breakfast”,No,No
The Little Shop,2,"Italian, Mediterranean",“Will come back again”,No,No
Berlin Currywurst,20,"Italian, Mediterranean",“Good Currywurst”,No,No
Brooklyn Chop House - Times Square,3,"Italian, Mediterranean",“Worth the price”,No,No
Villa Fresh Italian Kitchen,2,"Italian, Mediterranean",“VILLA FRESH ITALIAN KITCHEN/INSIDE PORT...”,No,No
The Hogshead,8,"Italian, Mediterranean","“Great Craft Brews, Good Food, Lousy...”",No,No
Black Iron Burger,2,"Italian, Mediterranean",“NUMBER 1 IN NYC”,No,No
Beyond Sushi,2,"Italian, Mediterranean",“Insane sushi!”,No,No
Shanghai Chinese Restaurant,6,"Italian, Mediterranean",“Excellent Boneless Pork ribs and Pork...”,No,No
Allora Fifth Ave,9,"Italian, Mediterranean",“Good experience for dinner”,No,No
David Burke Tavern,114,"American, Steakhouse",“Highlights were the tuna tartare appetizer and the salmon entree.”,tuna,Yes
La Linea,4,"Bar, Pub",“Great SoHo Bar”,lamb chops,Yes
Blarney Stone Bar & Restaurant,22,"Mediterranean, Greek","“Great food, loud music”",lobster bisque,Yes
Skinos Mediterranean,9,"Steakhouse, Bar",“The lamb chops were exquisite!”,Steak,Yes
Sticky's Finger Joint,2,"American, Healthy",“Great inexpensive food”,Crab Cakes,Yes
Canary Club,2,"French, American",“Great Find”,steak,Yes
Sea Fire Grill,"1,137","Middle Eastern, Mediterranean",“The lobster bisque was velvety and luscious.”,Pizza,Yes
Fields Good Chicken,4,American,“Very Cool Place”,Chinatown,Yes
D Elici,4,"American, Steakhouse",“Great Sandwhichs”,sashimi,Yes
L'Espress,8,Middle Eastern,"“Open 24 hours, good, reliable food and...”",No,Yes
Hayaty NYC,9,"Bar, Pub",“Puff Puff Pass”,No,Yes
Kitchen Provance,7,"Deli, Grill",“Catering GEM!!!”,No,Yes
Royal 35 Steakhouse,591,"Seafood, Soups","“Superb Steak, really delicious”",No,Yes
Little Roma Pizza,5,Mexican,“Good pizza!”,No,Yes
Moustache,18,Cafe,“Great Mediterranean Food”,No,Yes
Pat'e Palo Bar & Grill,5,"French, Cafe",“Celebrating the closing of Ninja birthday...”,No,Yes
Ethyl's Alcohol & Food,18,Mexican,“Fun blast from the past”,No,No
L&M Delicatessen and Catering,5,"Steakhouse, American",“Excellent go to”,No,No
Benjamin Steakhouse Prime,309,Chinese,"“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",No,No
Burritos Y Mas,4,American,“BYM: Muy Bueno!”,No,No
Champion Coffee,3,American,"“Great coffee, obviously!”",No,No
Le Pain Quotidien,29,Healthy,“Excellent place for a healthy meal near...”,No,No
Starbucks Reserve Empire State Building,6,"American, Pizza",“So great we visited it twice!”,No,No
Chipotle Mexican Grill,10,American,“Always a good experience”,No,No
Tabernacle Steakhouse,7,"Greek, Mediterranean",“My steak was delectable and cooked to perfection.”,No,No
Wo Hop Next Door,2,"Vietnamese, Asian",“Amazing Chinatown experience”,No,No
Analogue,16,"Chinese, Asian",“Nice Cozy Place”,No,No
The Greens on The Rooftop at Pier 17,24,"Japanese, Sushi",“Cool place”,No,No
Brooklyn Whiskers,6,"Japanese, Sushi",“Really good sandwiches!”,No,No
Black Seed Bagels - Nomad,2,"Japanese, Sushi",“Amazing!”,No,No
The Marshal,323,"Japanese, Sushi",“Quite possibly the best Pizza I ever ate!”,No,No
Who's Jac W.?,2,"Japanese, Sushi",“Brunch - March 2022”,No,No
Breezes Island Grill Restaurant and Lounge,2,"Japanese, Sushi",“Breath taking Mouth Watering taste For...”,No,No
Yia Yia's- Homemade Greek Food,11,"Japanese, Sushi",“pretty good for lunch”,No,No
Le Viet Cafe,9,"Japanese, Sushi",“Good Food”,No,No
Da Long Yi Hotpot,3,"Japanese, Sushi",“... and spicy hot pot in Chinatown NYC.”,No,No
Hatsuhana Sushi Restaurant,425,"Japanese, Sushi","“... notch, including the O-toro sashimi.”",No,No
Brooklyn Chop House - Times Square,3,"Chinese, Steakhouse",“Worth the price”,An Italian restaurant,Yes
Hungry Ghost Coffee,4,"American, Bar",“Lovely little stop for coffee”,pizza,Yes
Little Canal,7,"Italian, Pizza","“Nice little cafe, good for breakfast”",steak,Yes
Redemption Sports Lounge,42,Pizza,“Casual hangout”,Crab Cakes,Yes
Serafina West 105th Street,15,"Italian, Pizza",“Not as good this time”,ribeye,Yes
Stanton Street Pizza,9,American,“Good Spot for a Quick Slice”,French Onion Soup,Yes
Don Giovanni Ristorante,263,"Mediterranean, Turkish",“An Italian restaurant well worth a visit”,No,Yes
Dig,6,"Asian, Vietnamese",“Inexpensive....good for quick healthy food”,No,Yes
Sumela Mediterranean Cafe & Grill,7,Italian,“Good price for good food”,No,Yes
Phosure,7,"Italian, Pizza",“Go out of your way for this Vietnamese”,No,Yes
Subway,8,"Fast Food, American",“A review of the subway written by a...”,No,Yes
Baita at Eataly,19,"American, Deli",“Very good...”,No,Yes
Motorino,48,American,“Delicious thin crust pizza”,No,Yes
Living Thai,4,Israeli,“Great Lunch Specials”,No,Yes
Popeyes Louisiana Kitchen,11,"Steakhouse, American",“Popeye's is always fresh and hot!”,No,Yes
Subway,13,"Italian, Pizza",“Decent Subway sandwich shop in the heart...”,No,Yes
Cafe Serafina,14,"Seafood, Soups",“Well located for Central Park”,No,Yes
Cafe Au Lee,8,"Peruvian, South American",“Great Food”,No,Yes
Tabernacle Steakhouse,7,"Bar, Pub",“My steak was delectable and cooked to perfection.”,No,Yes
A Saffron Thread,6,Asian,“Lunch and then some..”,No,No
Monkey Room,8,"Seafood, Soups",“Neighborhood bar”,No,No
Gina la Fornarina,27,"Mexican, Latin","“Thoughtful service, good food”",No,No
American Bar,5,"Bar, Seafood",“Great Atmosphere”,No,No
Lighthouse Fish Market,2,"Bar, Mediterranean",“Food is Delicious & A Beautiful Ambiance”,No,No
Benjamin Steakhouse Prime,309,Cafe,"“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",No,No
Llamita,7,"French, American","“Sweet place, deceptive front”",No,No
Falucka,12,"French, American",“Reggae thursdays is great!”,No,No
&Pizza,3,"French, American",“&pizza has REOPENED on Wall St!”,No,No
sweetgreen,5,"French, American",“A Tasty Salad for Dinner”,No,No
Chi,11,"French, American",“Tasty wonton soup but too many noodles”,No,No
Benjamin Steakhouse,"2,490","French, American","“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”",No,No
Red Eye Coffee,4,"French, American",“Angel in NYC”,No,No
Los Feliz,28,"French, American",“Popular Bar with Cool Basements”,No,No
Ama Raw Bar,2,"French, American","“Tastes Like Heaven, Feels Like Family”",No,No
Elis Wine Bar & Restaurant,2,"French, American",“The best restaurant”,No,No
Ost Cafe,3,"French, American",“Feels like NYC 20 years ago… in a good...”,No,No
Quality Bistro,67,"French, American","“We had French Onion Soup, which was delicious.”",No,No
Royal 35 Steakhouse,591,"American, Steakhouse","“Superb Steak, really delicious”",Steak,Yes
Cachapas Y Mas,4,"Caribbean, Cuban",“Good Food”,paella,Yes
Tinas Cuban Cusine,4,"Italian, American",“Best Latin food!”,Crab Cakes,Yes
Rosemary's Pizza,7,"Mediterranean, European",“Pizza dinner”,gyoza,Yes
Sam's Famous Pizza,6,Mexican,“Great neighborhood pizzeria”,Garden,Yes
Ryan's Daughter,11,Japanese,"“Upscale Irish pub, on upper east side”",An Italian restaurant,Yes
Socarrat Paella Bar - Midtown East,191,"Seafood, Soups",“Best paella outside of Spain!”,No,Yes
Bao Bao Cafe,3,"Japanese, Sushi",“Delicious.”,No,Yes
Ralph's Coffee,5,Seafood,“Amazing chocolate chip cookie”,No,Yes
Panchito's,42,Japanese,“It’s a NYC Mexican restaurant”,No,Yes
Therapy,18,American,“Great place to start off”,No,Yes
Nr Cocktails And Rame,2,"Japanese, Asian",“AMAZING FIND!!!”,No,Yes
Benjamin Steakhouse Prime,309,Fusion,"“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",No,Yes
Kumo Sushi,24,"American, Fast Food",“OK sushi for the price”,No,Yes
Davidovich Bakery,8,"Mexican, Bar",“Delicious babka!”,No,Yes
North River Lobster Company,17,Pizza,“Good cocktails on Hudson River”,No,Yes
Hane,5,Japanese,“2 for 1”,No,Yes
Blue Bottle Coffee,3,"Bar, Pub",“Great coffee - don't expect to always get...”,No,No
IZAKAYA E.A.K. Hell's Kitchen,20,"Italian, Mediterranean",“We also had pork and ginger gyoza.”,No,No
Post,10,"Bar, Pub","“Great food, very relaxed!”",No,No
McDonald's,62,Pub,“Good for a late night snack”,No,No
Tijuana Picnic,14,"Asian, Vietnamese",“Great Tequila bar on LES”,No,No
10th Ave Pizza,6,"Chinese, Sushi",“Pretty decent little find. LIMITED SEATING”,No,No
Kibo Japanese Grill,7,"African, Mediterranean","“fun, fancy and fine food”",No,No
Goldie's Tavern,7,"Bar, Pub",“Close to Maddison Square Garden.”,No,No
Il Patio di Eataly,4,"Italian, Pizza","“Nice staff, shame about the mice...”",No,No
Da Capo,10,"Italian, Pizza",“Quiet atmosphere”,No,No
Hell's Kitchen Deli,7,"Italian, Pizza",“Good sandwich”,No,No
Dave's Tavern,19,"Italian, Pizza",“The Bar/Pub Crawl Continues”,No,No
12th Street Ale House,8,"Italian, Pizza",“Good pub and excellent happy hour”,No,No
Em Vietnamese Bistro,5,"Italian, Pizza",““Best Kept Secret in Dumbo””,No,No
Chop Chop,10,"Italian, Pizza",“Lovely kosher Chinese/Japanese restaurant”,No,No
Wise Men,6,"Italian, Pizza",“Great Night”,No,No
Benyam,4,"Italian, Pizza",“Worth the trip! Delicious Ethiopian...”,No,No
Jubilee Market,5,"Italian, Pizza",“Good food”,No,No
The Grayson,22,"Italian, Pizza",“Typical Bar Food”,No,No
Don Giovanni Ristorante,263,"Italian, Pizza",“An Italian restaurant well worth a visit”,No,No
Royal 35 Steakhouse,591,"American, Steakhouse","“Superb Steak, really delicious”",Steak,Yes
Chalsty’s Cafe,7,"Japanese, Sushi","“Wonderful food, but slow service.”",ribeye,Yes
Taqueria Gramercy,2,"Bar, American",“Perfect lunch after a long walk”,An Italian restaurant,Yes
Skewr,3,Italian,“Delish!”,Dumplings,Yes
Vinnie's Pizzeria,2,Barbecue,“Great pizza by the slice”,sashimi,Yes
Sushi Tokyo Chelsea,3,"Sushi, Japanese",“Excellent sushi and service!”,No,Yes
Ben & Jack's Steakhouse,87,"Italian, Pizza",“The bartender/server suggested the ribeye as well as the special mashed potat...”,No,Yes
Spaghetti Tavern,3,"American, Bar","“Fun, delicious, and exactly what we were...”",No,Yes
Chicky's On 86,11,Thai,“Chicken was delightful; mac and cheese...”,No,Yes
Yung Sun Restaurant,5,"American, Fast Food",“A different Chinese Menu: Authentic...”,No,Yes
Siena Cafe,27,American,“Humdrum Italian”,No,Yes
Tokyo Bay,9,"Italian, Mediterranean","“Fresh food, easy atmoshere, kind service...”",No,Yes
Don Giovanni Ristorante,263,American,“An Italian restaurant well worth a visit”,No,Yes
Harlem Hookah,8,"Mediterranean, Middle Eastern",“Girls Outing”,No,Yes
Kati Shop,2,"Middle Eastern, Persian",“Suoer rico!”,No,Yes
Dig,12,Italian,“Perfect meal”,No,Yes
Chipotle Mexican Grill,5,"Italian, Pizza",“healthy”,No,Yes
Thunder Bun,6,"Mediterranean, Turkish",“Lunch at Schnippers”,No,No
Casa Soglia,1 review,"American, Bar",“Perfect Sushi”,No,No
Sugarfish By Sushi Nozawa,2,Cafe,“You can't go wrong!!!!”,No,No
NYC Falafel Co,2,"Asian, Chinese",“Wonderful middle eastern restaurant in...”,No,No
Ravagh,5,"Fast Food, European",“The best sandwich I have ever eaten”,No,No
Milano Market Westside,2,Pub,“Eleven B - A genuine Experience !”,No,No
Eleven B,22,"Asian, Chinese",“Very Authentic & Delicious”,No,No
Lezzet Mediterranean Turkish Restaurant,17,American,“Superb food!”,No,No
Spicy Tibet,4,"Japanese, Sushi",“Good place for Sandwich and Drink”,No,No
AWOL Bar & Grill,8,"Japanese, Sushi",“ok”,No,No
Burger King,18,"Japanese, Sushi","“Great Coffee, Great Vibe”",No,No
PROOF Coffee Roasters,3,"Japanese, Sushi",“Fried Chicken & Street Hookers”,No,No
Popeyes Louisiana Kitchen,6,"Japanese, Sushi",“I savored Crystal Shrimp Dumplings with delicate translucent skin that melted...”,No,No
Little Alley,44,"Japanese, Sushi",“Great Salads”,No,No
sweetgreen,2,"Japanese, Sushi",“First time visit”,No,No
Joe & The Juice,2,"Japanese, Sushi",“A Great Place for a Break and Refreshments”,No,No
Public Fare,5,"Japanese, Sushi",“Replicates Classic American-Style Chinese...”,No,No
House of Vegetarian,26,"Japanese, Sushi",“Great Fresh Fruit Options”,No,No
Health King,5,"Japanese, Sushi","“... notch, including the O-toro sashimi.”",No,No
Hatsuhana Sushi Restaurant,425,"Japanese, Sushi",No,No,No
Vestry,24,Diner,“The tuna toast !”,tuna,Yes
Gracie's on 2nd Diner,11,Indian,“One of the remaining NYC late night diners”,tuna,Yes
Dil E Punjabi Deli,7,"American, Italian","“Cheap, not super cheerful”",draft,Yes
Le Reve,17,"American, Steakhouse",“Nothing special”,lobster bisque,Yes
Butterfield Market,7,"Japanese, Sushi","“Fresh food with a great variety, even the...”",Crab Cakes,Yes
Bongo,4,"Bar, Pub",“BEST LOBSTER ROLL IN THE WORLD! NOT...”,salad,Yes
David Burke Tavern,114,American,“Highlights were the tuna tartare appetizer and the salmon entree.”,No,Yes
Handies by Bou,3,Pizza,“Fresh and Delicious!”,No,Yes
Custom House,24,"Italian, Mediterranean",“The draft beer was served cold.”,No,Yes
Fulton Stall Market,5,American,“Nice place for break”,No,Yes
Failte,8,"Italian, American",“Loved this little place”,No,Yes
Pick & Eat,7,"Cajun & Creole, Seafood","“Good for quick fresh food, lots of...”",No,Yes
Allora Fifth Ave,9,"American, Seafood",“Good experience for dinner”,No,Yes
William Poll,4,"American, Fast Food",“WOW!!”,No,Yes
Nuyorican Poets Cafe,4,"Italian, Pizza",“First time for poetry slam”,No,Yes
Alex Cafe & Deli,8,"Steakhouse, Bar",“Great little cafe”,No,Yes
Heartbeat at the W New York,21,"Pizza, Italian",“Breakfast service needs improvement”,No,Yes
Amir's,18,"French, Cafe",“Great deals”,No,No
Perfect Picnic,49,"American, Bar",“Perfect Picnic did a wonderful job...”,No,No
Cap't Loui,6,Chinese,“Very Good Seafood”,No,No
Lil' Gem,5,"Seafood, Soups",“Enjoyable dinner”,No,No
Luke's Lobster,2,"Sushi, Japanese",“Great place for lobster roll”,No,No
Essen,9,Vietnamese,“Great selection of fresh and cooked food...”,No,No
Lombardi's Chelsea,19,"Italian, Pizza",“Great except for the plastic plates”,No,No
Sea Fire Grill,"1,137","Italian, Pizza",“The lobster bisque was velvety and luscious.”,No,No
La Nostra Pizzeria,10,"Italian, Pizza",“One of my fav pizza slices comes from here”,No,No
Le Petit Parisien,2,"Italian, Pizza",“great coffee and crunchy french baguettes”,No,No
Nobody Told Me,2,"Italian, Pizza",“Great neighborhood bar and restaurant on...”,No,No
AM-PM Deli Grocery,8,"Italian, Pizza",“Wonderful Christmas Eve dinner of Chicken...”,No,No
New Kam Lai Chinese Restaurant,10,"Italian, Pizza","“Great food, big servings, great price”",No,No
Benjamin Steakhouse Prime,309,"Italian, Pizza","“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",No,No
Maguro,11,"Italian, Pizza","“Cramped eat in, but delicious, fresh and...”",No,No
Evelyn's Kitchen,4,"Italian, Pizza","“If the Grub Hub food was great, I can't...”",No,No
Just Salad,6,"Italian, Pizza",“Little gem”,No,No
Hero Certified Burgers,4,"Italian, Pizza",“Some disappointments”,No,No
Vietspot,3,"Italian, Pizza",“Very good Pho-soup loaded”,No,No
Salumeria Rosi,400,"Italian, Pizza",“Food was quite good and the cheese and meats were an ideal meal with salad.”,No,No
Allora Fifth Ave,9,"Italian, Mediterranean",“Good experience for dinner”,steak,Yes
Ramen Burger,24,Asian,“So different but so good”,Pizza,Yes
Bleecker Street Bar,25,"Bar, Pub",“Great for a couple of beers!”,sashimi,Yes
Taco Bell,21,"Mexican, Fast Food","“Quick and easy take away, tasty”",bagels,Yes
Gatsby's,90,"Bar, American",“Smelled of toilets”,Crab Cakes,Yes
Vive La Crepe,19,"Steakhouse, American",“Treat Yourself!”,No,Yes
Tabernacle Steakhouse,7,"American, Caribbean",“My steak was delectable and cooked to perfection.”,No,Yes
Wat's On Your Plate,3,"Mexican, Bar",“Great service and meal.”,No,Yes
169 Bar,9,French,“Fun bar!”,No,Yes
Casa Bocado,8,"American, Bar",“A visit whilst staying at The Sohotel”,No,Yes
Pitchoun,6,"Italian, Mediterranean",“Good Food - Atrocious Service”,No,Yes
87 on Walker,4,"Chinese, Asian",“Excellent new bar and bistro.”,No,Yes
Casa Soglia,1 review,Mexican,“A great place for a quick bite.”,No,Yes
Dim Sum Sam,3,American,“A great pancake place”,No,Yes
All American Pancake House,4,"American, Pizza",“Simply the best”,No,Yes
Otto's Tacos,5,Thai,“quick eats”,No,Yes
Checkers,11,"Bar, Pub",“Amazing Spot Across from Madison Square...”,No,Yes
Bourbon And Branch,2,"Japanese, Sushi",“Quite possibly the best Pizza I ever ate!”,No,No
The Marshal,323,"Chinese, Asian",“The Drunken Noodles were fantastic!”,No,No
Hub Thai,6,"Sushi, Asian",“Good slice for $1.50”,No,No
Pizza Gaga,3,"Chinese, Asian",“A hidden local gem!”,No,No
Cedar Local,11,Cafe,“Best fast food salad”,No,No
Chick-fil-A,5,"American, Cafe",“Newly renovated”,No,No
Capitol Restaurant,8,American,"“... notch, including the O-toro sashimi.”",No,No
Hatsuhana Sushi Restaurant,425,"American, Dining bars",“Grab quick”,No,No
Tacos Cuautla Morelos,4,"Latin, Spanish",“Wonderful find”,No,No
53 Nyc,2,"Seafood, Soups","“Tasty menu, great service”",No,No
Arbor Bistro,22,"Seafood, Soups",“Good spot for lunch!”,No,No
Lin's Gourmet Chinese Cuisine,12,"Seafood, Soups",“Cosy coffee place”,No,No
Peaky Barista,2,"Seafood, Soups",“One of the best bagels in the city!”,No,No
Rico Bagel,3,"Seafood, Soups",“Hands-free Fun”,No,No
Chick'nCone,6,"Seafood, Soups",“Happy Hour!”,No,No
Skylight Lounge at The Watson Hotel,13,"Seafood, Soups",“Love it!”,No,No
The Restaurant,2,"Seafood, Soups",“Homey Dominican food”,No,No
El Rey De La Caridad Restaurant,7,"Seafood, Soups",“Charming neighborhood Thai delight!”,No,No
Raenu Continental Thai Restaurant,3,"Seafood, Soups","“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",No,No
Benjamin Steakhouse Prime,309,"Seafood, Soups",No,No,No
Hatsuhana Sushi Restaurant,425,"Japanese, Sushi","“... notch, including the O-toro sashimi.”",sashimi,Yes
Ichimura,4,American,“Outstanding !!!”,seafood paella,Yes
Wingstop,10,"Sushi, Japanese",“Great deal on Mondays and Tuesdays”,Sushi,Yes
Cherin Sushi n Ramen,10,American,“Blast off”,ribeye,Yes
Figaro,2,Indian,“Awesome food and atmosphere!”,ribeye,Yes
Joy Curry and Tandoor,6,"Seafood, Mediterranean",“Simple Indian cuisine in NY”,Dumplings,Yes
Socarrat Paella Bar - Chelsea,225,"Chinese, Asian",“We took the combined poultry and seafood paella and started with some appetiz...”,French Onion Soup,Yes
Latin American Restaurant,5,"African, Moroccan","“Hidden gem, honest food & a bargain”",No,Yes
Yeah Shanghai Deluxe,130,Indian,“Disappointing food and lacklustre service”,No,Yes
Berber Street Food,5,"Japanese, Seafood",“Tasty food for a break”,No,Yes
Joe Coffee Company,2,"Bar, American",“Wow!”,No,Yes
Apna Masala Indian Cuisine,17,Mexican,“Great lunch”,No,Yes
Momoya Soho,9,"Chinese, Asian",“Leave it to Sushi Chef!”,No,Yes
Turtle Bay,28,Chinese,“Nice bar with snacks”,No,Yes
Oaxaca Taqueria,8,"Bar, American",“Best taco”,No,Yes
DaDong,66,"American, Pizza",“Lovely food but over rated”,No,Yes
Centro Pizzeria & Restaurant,3,"Japanese, Sushi",“Great pizza...especially late at night!”,No,No
House Of Joy,3,Sushi,“Chaos but brilliant”,No,No
Ben & Jack's Steakhouse,87,Seafood,“The bartender/server suggested the ribeye as well as the special mashed potat...”,No,No
Lupita's Restaurant,3,"Seafood, Soups",“Authentic Mexican Food”,No,No
Cafe Basil,24,"Indian, Asian",“Lunch soap”,No,No
The Loop,18,American,“Reliably Excellent”,No,No
Sushi Suite,2,Chinese,“49..aging like fine wine!”,No,No
Famous Fish Market,11,"Asian, Chinese",“Best fish ever!”,No,No
Benjamin Steakhouse,"2,490",American,"“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”",No,No
Curry Leaf,20,Japanese,“Delicious & Super Spicy”,No,No
Riverpark,2,American,“Wonderful dinner experience!”,No,No
Maki Maki Japanese Restaurant,3,"American, Caribbean","“Unassuming exterior, lovely dining...”",No,No
Potluck Club,2,"Asian, Chinese",“Food is Awesome.”,No,No
Previti Pasta & Pizza,2,"French, American",“great”,No,No
Little Alley,44,"French, American",“I savored Crystal Shrimp Dumplings with delicate translucent skin that melted...”,No,No
"RH Guesthouse, The Dining Room",2,"French, American",“Design dream”,No,No
Bonsai Kakigori,3,"French, American",“Taste of Summer”,No,No
Rosa Mexicano,3,"French, American",“FUN NEIGHBORHOOD GO TO”,No,No
Taller Cocina,3,"French, American","“Great time, Great Music”",No,No
Haven Cafe,3,"French, American",“The Crown Jewel of Manhattan Chinatown...”,No,No
Quality Bistro,67,"French, American","“We had French Onion Soup, which was delicious.”",No,No
